"file","Date.x","Strain","CvManu","CbManu","Cb0.5Manu","OD","note13","repeat","label.x","X","files","Cv","CvW","Cb","CbW","b.min","b.max","update","change","color","pch","label.y","Cv.vs.Cb","Date.y","strains","Cv.1","Cb.1","OD600","note","NA.","Cv.vs.Cb.1","Cv.vs.Cv.2","Cb0.5","Cb0.5W","b0.5.min","b0.5.max","CvChanges","CbChanges"
"101S.PeroxideEffectonLOH.Jan252011.csv","1/25/11","101S",0.045,0.03,0.01,NA,"good","","101S 1/25/11","1","101S.PeroxideEffectonLOH.Jan252011.csv",0.042798544,3.268555629,0.03,3.268555629,0.00456635881102651,0.026180926916221,1,2,"red",19,NA,1,"1/25/11","101S",0.045,0.03,NA,"good","",1.5,1.426618133,0.03,3.268555629,0.00284618442595082,0.018425307342668,1.0514376376916,1
"101S.PeroxideEffectonLOH.Jan272011.csv","1/27/11","101S",0.045,0.025,0.01,NA,"good","","101S 1/27/11","2","101S.PeroxideEffectonLOH.Jan272011.csv",0.036987734,3.996637115,0.033709358,1.412497501,0.00431827434485671,0.0433267250751423,2,1.614014738,"red",19,NA,1.097254183,"1/27/11","101S",0.045,0.025,NA,"good","",1.8,1.097254183,0.033709358,1.412497501,0.0105877644766147,0.0261276555196694,1.21661954203521,0.741633821682395
"BY4743,20120530,H2O2LOH.csv","5/30/12","BY4743",0.035,0.05,0.01,NA,"noisy","","BY4743 5/30/12","38","BY4743,20120530,H2O2LOH.csv",0.034151765,2.254220647,0.01,1,0.0100231090534736,0.0360339493127293,3,1.999999941,"red",19,NA,1,"5/30/12","BY4743",0.035,0.05,NA,"noisy","",0.7,0.6830353,0.01,1,0.00825281984451535,0.0162958545245708,1.02483722290781,5
"BY4743,20120907,H2O2LOH.csv","9/7/12","BY4743",0.06,0.075,0.01,NA,"Good","","BY4743 9/7/12","39","BY4743,20120907,H2O2LOH.csv",0.049399177,1.552355224,0.0268860941156773,NA,0.0254593652407582,0.0603514260041932,4,2.00000004,"red",19,"BY4743,20120907,H2O2LOH.csv",1,"9/7/12","BY4743",0.06,0.075,NA,"Good","",0.8,0.658655693,-0.000895996707508752,NA,0.0128477013581233,0.0346435949947223,1.21459513384201,2.78954613776597
"ctt1,20121016,H2O2LOH.csv","10/16/12","ctt1",0.005,0.006,0.0025,NA,"","","ctt1 10/16/12","40","ctt1,20121016,H2O2LOH.csv",0.006099206,1.409473408,0.013325712,2.119679666,0.0104280880570726,0.124746707193516,5,1.032208525,"black",1,NA,0.482160651,"10/16/12","ctt1",0.005,0.006,NA,"","",0.833333333,1.016534333,0.013325712,2.119679666,0.00700132318600935,0.0195536024785811,0.819778836786296,0.450257367111041
"ctt1,20121026,H2O2LOH.csv","10/26/12","ctt1",0.008,0.007,0.015,NA,"","","ctt1 10/26/12","41","ctt1,20121026,H2O2LOH.csv",0.007157219,3.909978605,0.008831964,2.174898692,0.00708496886651828,0.0893089960886571,6,0.946649576,"black",1,NA,0.81037682,"10/26/12","ctt1",0.008,0.007,NA,"","",1.142857143,0.81037682,0.0143459535005674,14.7265055751463,0.00856909552843562,0.106334841628959,1.1177525795983,0.792575694375566
"M1-2,20110422.H2O2onLOH.csv","4/22/11","M1-2",0.065,0.02,0.01,NA,"20130530","","M1-2 4/22/11","4","M1-2,20110422.H2O2onLOH.csv",0.05581481,2.289461991,0.039074351,0.771807848,0.00159391746995529,0.0363693871356003,7,1.400142761,"black",1,NA,1.428425769,"4/22/11","M1-2",0.065,0.02,NA,"20130530","",3.25,1.428425769,0.039074351,0.771807848,0.0077606602731548,0.0381662433404567,1.16456546210585,0.511844713684432
"M1-2,20111207.modified.csv","12/7/11","M1-2",0.05,0.015,0.01,1,"Needs to be redone in R because line for ""black"" is variable. Once redone, however, same graph was obtained.","","M1-2 12/7/11","6","M1-2,20111207.modified.csv",0.033830837,0.933332377,0.015,0.933332377,0.0026280796828742,0.0292682926829268,8,2.000000059,"red",19,"M1-2,20111207.modified.csv",1,"12/7/11","M1-2",0.05,0.015,1,"Needs to be redone in R because line for ""black"" is variable. Once redone, however, same graph was obtained.","",3.333333333,2.255389133,0.026282935,0.933332377,0.001996831996832,0.0280352303523035,1.47794155964867,1
"M1-2,20120502,H2O2LOH.csv","5/2/12","M1-2",0.06,0.035,0.01,NA,"20130530","","M1-2 5/2/12","3","M1-2,20120502,H2O2LOH.csv",0.050288427,1.282163253,0.035,1.282163253,0.00438501680054004,0.0600433259094918,9,2.00000004,"red",19,"M1-2,20120502,H2O2LOH.csv",1,"5/2/12","M1-2",0.06,0.035,NA,"20130530","",1.714285714,1.4368122,0.035,1.282163253,0.00338167996740028,0.045897404423416,1.19311745424052,1
"M13,08242011.H2O2.LOH.csv","8/24/11","M13",0.028,0.007,0.0025,NA,"Viability goes down to 0.4 (viability didn't completely finish); for mutation (black), the line begins to plateau at about 0.02.","","M13 8/24/11","16","M13,08242011.H2O2.LOH.csv",0.028282529,2.287783047,0.015,2.287783047,0.00442688499619193,0.0308913336041847,10,1.999999929,"red",19,NA,1,"8/24/11","M13",0.028,0.015,NA,"Viability goes down to 0.4 (viability didn't completely finish); for mutation (black), the line begins to plateau at about 0.02.","",1.866666667,1.885501933,0.015,2.287783047,0.00680906862279318,0.0223538848950083,0.990010476078713,0.466666666666667
"M13,Dec2,2011.modified.csv","12/2/11","M13",0.035,0.02,0.0025,0.9,"","","M13 12/2/11","17","M13,Dec2,2011.modified.csv",0.028117663,2.663632084,0.040633382,1.594744016,0.00274274759793052,0.0708390899880262,11,1.140548438,"black",1,NA,0.69198432,"12/2/11","M13",0.035,0.02,0.9,"","",1.75,0.69198432,0.12339347,1.594744016,0.00639330695947037,0.0429572271386431,1.24476916876058,0.492206137308482
"M13,May18.2011.M13.H2O2.LOH.csv","5/18/11","M13",0.005,0.005,0.003,NA,"line for viability has an outlier (difficult to interpret)","","M13 5/18/11","15","M13,May18.2011.M13.H2O2.LOH.csv",0.005534187,1.406208147,0.009883621,1.272096635,0.0166054391230282,0.109459168282698,12,1.028829238,"black",1,NA,0.560076495,"5/18/11","M13",0.005,0.005,NA,"line for viability has an outlier (difficult to interpret)","",1,1.1068374,0.013866942,1.272096635,0.0244070901484282,0.0668538772292837,0.903475072309627,0.505887467761056
"M2-8,06062011.H2O2onLOH.csv","6/6/11","M2-8",0.03,0.12,0.015,NA,"","","M2-8 6/6/11","7","M2-8,06062011.H2O2onLOH.csv",0.030680795,2.163965623,0.12,2.163965623,0.0179025126192712,0.0284981439472056,13,0.30680795,"red",19,"M2-8,06062011.H2O2onLOH.csv",1,"6/6/11","M2-8",0.03,0.12,NA,"","",0.25,0.255673292,0.0235828120822211,0.422801598741556,0.004268946707119,0.0368347776884362,0.977810385943389,1
"M2-8,08172011.H2O2.LOH.modified.csv","8/17/11","M2-8",0.04,0.085,0.0075,NA,"","","M2-8 8/17/11","8","M2-8,08172011.H2O2.LOH.modified.csv",0.033112955,2.713282152,0.085,2.713282152,0.00954835210666262,0.0246448724067264,14,1.99999994,"red",19,NA,1,"8/17/11","M2-8",0.04,0.085,NA,"","",0.470588235,0.389564176,0.085,2.713282152,0.0145448655919739,0.032861725101626,1.20798642102464,1
"M2-8,Dec19 2011.csv","12/19/11","M2-8",0.055,0.03,0.02,1,"","","M2-8 12/19/11","9","M2-8,Dec19 2011.csv",0.060715905,2.296079483,0.03,2.296079483,0.0047715047798262,0.0213919145370758,15,2.000000033,"red",19,"M2-8,Dec19 2011.csv",1,"12/19/11","M2-8",0.055,0.03,1,"","",1.833333333,2.0238635,0.03,2.296079483,0.00536569157118771,0.03902387934646,0.905858193170307,1
"M32,08102011.H2O2onLOH.csv","8/10/11","M32",0.12,0.015,0.02,NA,"Viability goes from 1.0 to .4 (viability line didn't completely finish); seems to ""plateau"" at .020 (for black colonies)--> this is where the measurement starts. ","repeated using R","M32 8/10/11","19","M32,08102011.H2O2onLOH.csv",0.132116632,1.824159628,0.132116632,1.824159628,0.0102024132229373,0.0217093200799617,16,3.3029158,"red",19,"M32,08102011.H2O2onLOH.csv",1,"8/10/11","M32",0.12,0.015,NA,"Viability goes from 1.0 to .4 (viability line didn't completely finish); seems to ""plateau"" at .020 (for black colonies)--> this is where the measurement starts. ","repeated using R",8,1,0.132116632,1.824159628,0.00471088654901744,0.0258919468124274,0.90828836750849,0.113536045938561
"M32,Jan10,2012,Three Hours.corrected.csv","1/10/12","M32",0.25,0.15,0.03,0.91,"","","M32 1/10/12","22","M32,Jan10,2012,Three Hours.corrected.csv",0.178004265,1.862721746,0.200375193,1.227654918,0.00442720736658275,0.0447040350209364,18,1,"black",1,NA,1,"1/10/12","M32",0.25,0.15,0.91,"","",1.666666667,1.1866951,0.200375193,1.227654918,0.0227249170812604,0.0428658909981629,1.40446073019655,0.748595660741297
"M32,Jan4,2012.csv","1/4/12","M32",0.25,0.1,0.03,1.1,"","repeat? ","M32 1/4/12","21","M32,Jan4,2012.csv",0.211130468,2.345494593,0.211130468,2.345494593,0.00917453585948609,0.0608002744510978,19,1.05565234,"black",1,NA,1,"1/4/12","M32",0.25,0.1,1.1,"","repeat? ",2.5,1,0.136943762575192,0.946014533730061,0.0164135755898053,0.0527709982737068,1.18410195538429,0.473640782153716
"M32,May25,2011.H202LOHcorrected.csv","5/25/11","M32",0.06,0.03,0.01,NA,"","wrong strain? ","M32 5/25/11","18","M32,May25,2011.H202LOHcorrected.csv",0.081305664,3.008068886,0.081305664,3.008068886,0.00481224828239754,0.0176683527916956,20,3.799459346,"red",19,"M32,May25,2011.H202LOHcorrected.csv",1,"5/25/11","M32",0.06,0.03,NA,"","wrong strain? ",2,1,0.081305664,3.008068886,0.00415229807640498,0.0237754038561751,0.737955968233652,0.368977984116826
"M34,042011.H2O2onLOH.csv","4/20/11","M34",0.07,0.068,0.01,NA,"","","M34 4/20/11","24","M34,042011.H2O2onLOH.csv",0.073272683,4.473052412,0.073272683,4.473052412,0.00656259707983846,0.0490698879576848,21,1.480797656,"black",1,NA,1,"4/20/11","M34",0.07,0.068,NA,"","",1.029411765,1,0.026401569,4.473052412,0.00541220099409755,0.0557993324043167,0.955335564824343,0.928040262972218
"M34.08232011.H2O2.LOH.csv","8/23/11","M34",0.13,0.04,0.01,NA,"For the black line, there is an outlier at 0.01. ","","M34 8/23/11","25","M34.08232011.H2O2.LOH.csv",0.116241443,2.68679824,0.05,2.68679824,0.0043355174967425,0.0275682081343176,22,5.432027921,"red",19,"M34.08232011.H2O2.LOH.csv",1,"8/23/11","M34",0.13,0.04,NA,"For the black line, there is an outlier at 0.01. ","",3.25,1,0.05,2.68679824,0.00843199565042136,0.0389895474698437,1.11836189094796,0.8
"M5,08162011.H2O2.LOH.csv","8/16/11","M5",0.075,0.072,0.075,NA,"For viability, midpoint of scale was .5 because the line only went from about 0.2 to 1.0","repeat","M5 8/16/11","11","M5,08162011.H2O2.LOH.csv",0.077782377,1.930166352,0.072,1.930166352,0.00365169007280057,0.0493230174081238,23,1,"black",1,NA,1,"8/16/11","M5",0.075,0.072,NA,"For viability, midpoint of scale was .5 because the line only went from about 0.2 to 1.0","repeat",1.041666667,1.080310792,0.03013018,1.930166352,0.00324937111633098,0.0443907156673114,0.96422869668794,1
"M5,H202.022511.csv","2/25/11","M5",0.05,0.1,0.03,NA,"","","M5 2/25/11","10","M5,H202.022511.csv",0.049802484,1.453808126,0.049802484,1.453808126,0.00329120483919246,0.067120269931123,24,1.094667919,"black",1,NA,1,"2/25/11","M5",0.05,0.1,NA,"","",0.5,1,0.049802484,1.453808126,0.00142379120707294,0.0325059548300599,1.00396598691744,2.00793197383488
"M8,Dec15 2011.csv","12/15/11","M8",0.07,0.02,0.0075,0.9,"","repeat","M8 12/15/11","14","M8,Dec15 2011.csv",0.081720008,2.795637527,0.05,2.795637527,0.00257340298360817,0.0356174815563802,25,3.818821874,"red",19,"M8,Dec15 2011.csv",1,"12/15/11","M8",0.07,0.02,0.9,"","repeat",3.5,1,0.0243229974836071,1.42424626421001,0.00572404080763751,0.0423762209201312,0.856583371846953,0.4
"M8,Feb8,2011.H2O2effectonLOHmodified.csv","2/8/11","M8",0.06,0.08,0.005,NA,"","","M8 2/8/11","12","M8,Feb8,2011.H2O2effectonLOHmodified.csv",0.06186333,4.077637078,0.06,4.077637078,0.00369686082029488,0.0458421555798419,26,1.580493125,"red",19,NA,1,"2/8/11","M8",0.06,0.08,NA,"","",0.75,1,0.06,4.077637078,0.010553551153595,0.0317994894330052,0.969879894923212,1.33333333333333
"M8,Mar302011.Effectof H2O2onLOH.csv","3/30/11","M8",0.04,0.025,0.0025,NA,"","","M8 3/30/11","13","M8,Mar302011.Effectof H2O2onLOH.csv",0.040793703,3.10548186,0.040793703,3.10548186,0.00486636385060644,0.0429347614410906,27,1.906312654,"red",19,NA,1,"3/30/11","M8",0.04,0.025,NA,"","",1.6,1,0.040793703,3.10548186,0.00908577313330686,0.0315267770204479,0.980543492214963,0.612839682634352
"SGU57,Jan12,2012.modified.csv","1/12/12","SGU57",0.02,0.005,0.01,1.1,"","","SGU57 1/12/12","36","SGU57,Jan12,2012.modified.csv",0.010620298,1.582235683,0.039924795,0.910693937,0.00813184476953309,0.0445566286215979,28,1.627586583,"red",19,NA,0.266007578,"1/12/12","SGU57",0.02,0.005,1.1,"","",4,0.266007578,0.039924795,0.910693937,0.00444231164735724,0.00882461994809047,1.88318632866987,0.125235458316067
"SGU57,Jan13,2012.modified.csv","1/13/12","SGU57",0.02,0.005,0.005,1,"","","SGU57 1/13/12","37","SGU57,Jan13,2012.modified.csv",0.015180217,2.360396797,0.067951556,1.035131186,0.00369102728257658,0.031272210376688,29,0.766329258,"black",1,NA,0.223397635,"1/13/12","SGU57",0.02,0.005,1,"","",4,0.223397635,NA,NA,0.00367503402185483,0.00367503402185483,1.31750422276572,0.0735818323277248
"SGU57,Jan6,2012.csv","1/6/12","SGU57",0.035,0.015,0.02,0.9,"","","SGU57 1/6/12","35","SGU57,Jan6,2012.csv",0.029474094,2.329471707,0.024874112,1.160760886,0.00572564431854286,0.0557213930348259,30,1.411032803,"black",1,NA,1.184930483,"1/6/12","SGU57",0.035,0.015,0.9,"","",2.333333333,1.184930483,0.04636037,1.160760886,0.00256258713705522,0.0353233830845771,1.18748348973848,0.603036602874507
"sod2,20120914,H2O2LOH.csv","9/14/12","sod2",3e-04,2e-04,0.0015,NA,"extremely sharp","","sod2 9/14/12","42","sod2,20120914,H2O2LOH.csv",0.000238749,0.767709041,2e-04,0.767709041,0.0043619165724088,0.0426407449296687,31,0.477498,"red",19,"sod2,20120914,H2O2LOH.csv",1,"9/14/12","sod2",3e-04,2e-04,NA,"extremely sharp","",1.5,1.193745,2e-04,0.767709041,0.00303592612008834,0.0260505789413644,1.25654976565347,1
"sod2,20120918,H2O2LOH.csv","9/18/12","sod2",3e-04,3e-04,0.001,NA,"extremely sharp","","sod2 9/18/12","43","sod2,20120918,H2O2LOH.csv",9.81e-05,1.199601189,0.000590837,0.869932003,0.176962911833254,0.296210003106555,32,0.957605172,"black",1,NA,0.169181393,"9/18/12","sod2",3e-04,3e-04,NA,"extremely sharp","",1,0.327,0.0041456069793931,0.381509767278287,0.00376865498702262,0.038518445452752,3.05810397553517,0.50775425371126
"YPS128,042911,H2O2LOH.modified.csv","4/29/11","YPS128",0.005,0.006,0.005,NA,"For black line, there was such a fast drop in viability that there is a data error. However, if we disregard the data error, the plateau begins at around 0.016 (y-left part of the graph)","","YPS128 4/29/11","26","YPS128,042911,H2O2LOH.modified.csv",0.003829347,1.307121039,0.006,0.612073826,0.0020067486269315,0.0327380952380952,33,1.999162498,"red",19,NA,0.701193273,"4/29/11","YPS128",0.005,0.006,NA,"For black line, there was such a fast drop in viability that there is a data error. However, if we disregard the data error, the plateau begins at around 0.016 (y-left part of the graph)","",0.833333333,0.6382245,0.006,0.612073826,0.0024804461496968,0.0148115157012939,1.30570564641961,1
"YPS128,20110825,H2O2LOH.csv","8/25/11","YPS128",0.01,0.025,0.05,NA,"","","YPS128 8/25/11","27","YPS128,20110825,H2O2LOH.csv",0.008716533,1.515183113,0.026103649,1.096220604,0.276166001462133,0.366213151927438,34,0.658549832,"black",1,NA,0.333920097,"8/25/11","YPS128",0.01,0.025,NA,"","",0.4,0.333920097,0.026103649,1.096220604,0.0101755239190026,0.0442176870748299,1.14724512601513,0.957720508730408
"YPS128,DEC9,2011.csv","12/9/11","YPS128",0.012,0.025,0.015,0.9,"","","YPS128 12/9/11","28","YPS128,DEC9,2011.csv",0.009270712,1.214645229,0.018546786,3.111390701,0.00533624197675882,0.0989427860696517,35,1.107248568,"black",1,NA,0.499855459,"12/9/11","YPS128",0.012,0.025,0.9,"","",0.48,0.499855459,0.140494956038446,0.145879395337457,0.0142194433239209,0.0447827820539491,1.29439896310014,1.34794244134806
"YPS128,H2O2LOH_Nov14,2011.modified.csv","11/4/11","YPS128",0.015,0.025,0.005,NA,"20130530","","YPS128 11/4/11","29","YPS128,H2O2LOH_Nov14,2011.modified.csv",0.011344399,1.086447046,0.011344399,1.086447046,0.0778037692238072,0.128899835796388,36,2.317885462,"red",19,"YPS128,H2O2LOH_Nov14,2011.modified.csv",1,"11/4/11","YPS128",0.015,0.025,NA,"20130530","",0.6,1,0.011344399,1.086447046,0.00618044252848282,0.0466531440162272,1.32223840152308,2.20373066920513
"YPS163,Apr082011.H2O2onLOH.modifed.csv","4/8/11","YPS163",0.02,0.025,0.002,NA,"","","YPS163 4/8/11","30","YPS163,Apr082011.H2O2onLOH.modifed.csv",0.014515765,3.199402283,0.043534663,0.779611808,0.00139634238142033,0.126623376623377,38,0.994267766,"black",1,NA,0.334790479,"4/8/11","YPS163",0.02,0.025,NA,"","",0.8,0.5806306,0.02,0.779611808,0.0109605421444798,0.048608798770906,1.37781233024922,0.574255048212961
"YPS163,Apr13,2011.H2O2.LOH.csv","4/13/11","YPS163",0.016,0.015,0.002,NA,"","","YPS163 4/13/11","31","YPS163,Apr13,2011.H2O2.LOH.csv",0.014609033,3.941657194,0.013485717,1.407649553,0.00451178451178451,0.0730948081530527,39,1.2493288,"black",1,NA,1.083296695,"4/13/11","YPS163",0.016,0.015,NA,"","",1.066666667,1.083296695,0.013485717,1.407649553,0.0109680134680135,0.0464050974087384,1.09521280429718,1.11228791172171
